host,Datetime,CPU utilization (%),Memory used  (%)
TWKHH01OPTIPW6V,2021/7/22 11:26,75.8867,87.3522
TWKHH01OPTIPW6V,2021/7/22 11:23,87.02,77.4227
TWKHH01OPTIPW6V,2021/7/22 11:20,78.3496,72.8803
TWKHH01OPTIPW6V,2021/7/22 11:17,76.5648,72.5594
TWKHH01OPTIPW6V,2021/7/22 11:14,76.1587,72.2159
TWKHH01OPTIPW6V,2021/7/22 11:11,83.5206,75.6059
TWKHH01OPTIPW6V,2021/7/22 11:08,79.224,71.029
TWKHH01OPTIPW6V,2021/7/22 11:05,76.7408,69.5285
TWKHH01OPTIPW6V,2021/7/22 11:02,75.337,69.4895
TWKHH01OPTIPW6V,2021/7/22 10:59,75.3496,67.5465
TWKHH01OPTIPW6V,2021/7/22 10:56,76.223,66.9575
TWKHH01OPTIPW6V,2021/7/22 10:53,75.5397,66.5604
TWKHH01OPTIPW6V,2021/7/22 10:50,77.7486,78.0526
TWKHH01OPTIPW6V,2021/7/22 10:47,84.5786,71.35
TWKHH01OPTIPW6V,2021/7/22 10:44,77.681,72.0944
TWKHH01OPTIPW6V,2021/7/22 10:41,76.7909,71.4794
TWKHH01OPTIPW6V,2021/7/22 10:38,74.9958,70.7997
TWKHH01OPTIPW6V,2021/7/22 10:35,75.6085,70.4911
TWKHH01OPTIPW6V,2021/7/22 10:32,75.9971,69.9097
TWKHH01OPTIPW6V,2021/7/22 10:29,74.2084,69.3093
TWKHH01OPTIPW6V,2021/7/22 10:26,75.0675,69.2515
TWKHH01OPTIPW6V,2021/7/22 10:23,82.295,78.555
TWKHH01OPTIPW6V,2021/7/22 10:20,86.9986,71.3939
TWKHH01OPTIPW6V,2021/7/22 10:17,76.4282,71.3559
TWKHH01OPTIPW6V,2021/7/22 10:14,74.5684,72.6153
TWKHH01OPTIPW6V,2021/7/22 10:11,76.7466,82.2502
TWKHH01OPTIPW6V,2021/7/22 10:08,88.2729,79.4187
TWKHH01OPTIPW6V,2021/7/22 10:05,87.1924,69.9323
TWKHH01OPTIPW6V,2021/7/22 10:02,76.6916,69.8347
