,r value,p-value,N
Label & Disk (0 C:) - Current Disk Queue Length.4,0.4272,0.0,169.0
Label & Disk (1 D:) - Current Disk Queue Length.4,-0.0341,0.6601,169.0
Label & Label.4,0.3921,0.0,169.0
Label & Memory used  (%).5,-0.1004,0.1938,169.0
Label & CPU utilization (%).5,0.0219,0.7777,169.0
Label & Disk (0 C:) - Current Disk Queue Length.5,0.3566,0.0,169.0
Label & Disk (1 D:) - Current Disk Queue Length.5,0.1518,0.0488,169.0
Label & Label.5,0.2127,0.0055,169.0
Memory used  (%).1 & CPU utilization (%).1,0.1268,0.1003,169.0
Memory used  (%).1 & Disk (0 C:) - Current Disk Queue Length.1,0.034,0.6605,169.0
Memory used  (%).1 & Label.1,0.0547,0.4799,169.0
Memory used  (%).1 & Memory used  (%).2,0.2012,0.0087,169.0
Memory used  (%).1 & CPU utilization (%).2,0.1104,0.1532,169.0
Memory used  (%).1 & Disk (0 C:) - Current Disk Queue Length.2,0.0953,0.2176,169.0
Memory used  (%).1 & Disk (1 D:) - Current Disk Queue Length.2,0.0368,0.6351,169.0
Memory used  (%).1 & Label.2,0.1034,0.1809,169.0
Memory used  (%).1 & Memory used  (%).3,0.2384,0.0018,169.0
Memory used  (%).1 & CPU utilization (%).3,0.1419,0.0657,169.0
Memory used  (%).1 & Disk (0 C:) - Current Disk Queue Length.3,0.1323,0.0863,169.0
Memory used  (%).1 & Label.3,0.0836,0.28,169.0
Memory used  (%).1 & Memory used  (%).4,0.289,0.0001,169.0
Memory used  (%).1 & CPU utilization (%).4,0.1803,0.019,169.0
Memory used  (%).1 & Disk (0 C:) - Current Disk Queue Length.4,0.1618,0.0356,169.0
Memory used  (%).1 & Disk (1 D:) - Current Disk Queue Length.4,0.1636,0.0336,169.0
Memory used  (%).1 & Label.4,0.1274,0.0988,169.0
Memory used  (%).1 & Memory used  (%).5,-0.1952,0.011,169.0
Memory used  (%).1 & CPU utilization (%).5,0.1074,0.1647,169.0
Memory used  (%).1 & Disk (0 C:) - Current Disk Queue Length.5,0.1262,0.102,169.0
Memory used  (%).1 & Disk (1 D:) - Current Disk Queue Length.5,-0.0388,0.6163,169.0
Memory used  (%).1 & Label.5,0.0709,0.3598,169.0
CPU utilization (%).1 & Disk (0 C:) - Current Disk Queue Length.1,0.5839,0.0,169.0
CPU utilization (%).1 & Label.1,0.4515,0.0,169.0
CPU utilization (%).1 & Memory used  (%).2,0.0371,0.632,169.0
CPU utilization (%).1 & CPU utilization (%).2,0.6573,0.0,169.0
CPU utilization (%).1 & Disk (0 C:) - Current Disk Queue Length.2,0.5796,0.0,169.0
CPU utilization (%).1 & Disk (1 D:) - Current Disk Queue Length.2,-0.0121,0.8761,169.0
CPU utilization (%).1 & Label.2,0.461,0.0,169.0
CPU utilization (%).1 & Memory used  (%).3,0.2375,0.0019,169.0
CPU utilization (%).1 & CPU utilization (%).3,0.9462,0.0,169.0
CPU utilization (%).1 & Disk (0 C:) - Current Disk Queue Length.3,0.6478,0.0,169.0
CPU utilization (%).1 & Label.3,0.5621,0.0,169.0
CPU utilization (%).1 & Memory used  (%).4,0.1453,0.0595,169.0
